time,speed,throttle,brake,steering,laps
222.92,3.830068199049591e-40,0.4828000068664551,0.0,27.955121994018555,0
223.03,3.8317329416252095e-40,0.4728499948978424,0.0,27.954286575317383,0
223.13,3.8334481309455426e-40,0.4673500061035156,0.0,27.95343017578125,0
223.23,3.83511287352116e-40,0.49605000019073486,0.0,27.952577590942383,0
223.33,3.836828062841494e-40,0.6654499769210815,0.0,27.95160675048828,0
223.43,3.838492805417112e-40,0.8604999780654907,0.0,27.95049285888672,0
223.53,3.840207994737446e-40,1.0,0.0,27.94908332824707,0
223.63,3.841923184057779e-40,1.0,0.0,27.94756507873535,0
223.73,3.8435879266333974e-40,1.0,0.0,27.946067810058594,0
223.83,3.8453031159537305e-40,1.0,0.0,27.944501876831055,0
223.93,3.846967858529348e-40,1.0,0.0,27.942962646484375,0
224.03,3.848632601104967e-40,1.0,0.0,27.9414119720459,0
224.13,3.8503477904253e-40,1.0,0.0,27.939775466918945,0
224.23,3.852062979745634e-40,1.0,0.0,27.93810272216797,0
224.33,3.8537277223212515e-40,1.0,0.0,27.93645477294922,0
224.43,3.855442911641585e-40,0.8157999515533447,0.0,27.934799194335938,0
224.53,3.857107654217203e-40,0.29695001244544983,0.006334255449473858,27.93368911743164,0
224.63,3.858822843537536e-40,0.0,0.08606694638729095,27.933334350585938,0
224.73,3.860487586113155e-40,0.0,0.2574608325958252,27.933334350585938,0
224.83,3.862202775433488e-40,0.0,0.3087201714515686,27.933334350585938,0
224.94,3.8638675180091055e-40,0.0,0.14533458650112152,27.933334350585938,0
225.04,3.8655827073294394e-40,0.0,0.10793232917785645,27.933334350585938,0
225.14,3.867247449905057e-40,0.0,0.27957963943481445,27.933334350585938,0
225.24,3.868962639225391e-40,0.0,0.3944816291332245,27.933334350585938,0
225.34,3.870627381801009e-40,0.0,0.2838780879974365,27.933334350585938,0
225.44,3.872342571121343e-40,0.0,0.18508373200893402,27.933334350585938,0
225.54,3.87400731369696e-40,0.0,0.06589525192975998,27.933334350585938,0
225.64,3.87577294976201e-40,0.0,9.895231778500602e-05,27.933334350585938,0
225.74,3.877437692337627e-40,0.029900014400482178,0.0,27.933307647705078,0
225.84,3.879152881657961e-40,0.07420000433921814,0.0,27.933120727539062,0
225.94,3.880817624233579e-40,0.17390000820159912,0.0,27.932777404785156,0
226.04,3.882532813553912e-40,0.4347499907016754,0.0,27.93222427368164,0
226.15,3.884197556129531e-40,0.6715499758720398,0.0,27.931386947631836,0
226.25,3.885912745449864e-40,0.719249963760376,0.0,27.930404663085938,0
226.35,3.887627934770198e-40,0.7105500102043152,0.0,27.929401397705078,0
226.45,3.889292677345815e-40,0.6895999908447266,0.0,27.928430557250977,0
226.55,3.891007866666149e-40,0.5911999940872192,0.0,27.927444458007812,0
226.65,3.892672609241767e-40,0.2774500250816345,0.0,27.926687240600586,0
226.75,3.894337351817385e-40,0.25255000591278076,0.0,27.92618179321289,0
226.85,3.8960525411377186e-40,0.4007999897003174,0.0,27.92554473876953,0
226.95,3.897717283713336e-40,0.416949987411499,0.0,27.924795150756836,0
227.05,3.899432473033669e-40,0.32600000500679016,0.0,27.9240779876709,0
227.15,3.901097215609288e-40,0.22460001707077026,0.0,27.92352867126465,0
227.25,3.902812404929621e-40,0.13340002298355103,0.0,27.92308235168457,0
227.35,3.904477147505239e-40,0.041250020265579224,0.0,27.92276382446289,0
227.45,3.906192336825573e-40,0.0,0.0,27.922740936279297,0
227.55,3.90785707940119e-40,0.0,0.0,27.922740936279297,0
227.65,3.909572268721524e-40,0.0,0.0,27.922740936279297,0
227.75,3.911237011297142e-40,0.0,0.0,27.922740936279297,0
227.85,3.912952200617476e-40,0.0,0.0,27.922740936279297,0
227.95,3.914616943193094e-40,0.0,0.0,27.922740936279297,0
228.05,3.916332132513427e-40,0.0,0.0,27.922740936279297,0
228.15,3.917996875089045e-40,0.3867500126361847,0.0,27.92255210876465,0
228.26,3.919712064409378e-40,0.9993000030517578,0.0,27.921907424926758,0
228.36,3.921376806984996e-40,1.0,0.0,27.921201705932617,0
228.46,3.92309199630533e-40,1.0,0.0,27.920459747314453,0
228.56,3.924756738880948e-40,1.0,0.0,27.91974639892578,0
228.66,3.9264719282012816e-40,1.0,0.0,27.918813705444336,0
228.76,3.928136670776899e-40,1.0,0.0,27.917682647705078,0
228.86,3.929851860097233e-40,1.0,0.0,27.91646385192871,0
228.96,3.931516602672851e-40,1.0,0.0,27.91526222229004,0
229.06,3.933231791993184e-40,1.0,0.0,27.91399574279785,0
229.16,3.9348965345688025e-40,1.0,0.0,27.912731170654297,0
229.26,3.936611723889136e-40,1.0,0.0,27.911396026611328,0
229.36,3.9383269132094695e-40,1.0,0.0,27.91002655029297,0
229.46,3.939991655785087e-40,1.0,0.0,27.908666610717773,0
229.56,3.941706845105421e-40,1.0,0.0,27.9072322845459,0
229.67,3.943371587681039e-40,1.0,0.0,27.905811309814453,0
229.77,3.945137223746088e-40,1.0,0.0,27.904272079467773,0
229.87,3.946801966321706e-40,1.0,0.0,27.90279197692871,0
229.97,3.94851715564204e-40,1.0,0.0,27.901243209838867,0
230.07,3.9501818982176575e-40,1.0,0.0,27.899707794189453,0
230.17,3.9518970875379905e-40,1.0,0.0,27.898094177246094,0
230.27,3.953561830113609e-40,1.0,0.0,27.896507263183594,0
230.37,3.955277019433942e-40,1.0,0.0,27.89484405517578,0
230.47,3.95694176200956e-40,1.0,0.0,27.893199920654297,0
230.57,3.958656951329894e-40,0.7541999816894531,0.0,27.89158821105957,0
230.67,3.9603216939055115e-40,0.34220001101493835,0.0,27.8904972076416,0
230.77,3.9620368832258454e-40,0.23055002093315125,0.0,27.889799118041992,0
230.87,3.963701625801463e-40,0.23675000667572021,0.0,27.88916778564453,0
230.97,3.965416815121797e-40,0.24880000948905945,0.0,27.888498306274414,0
231.07,3.967081557697415e-40,0.23875001072883606,0.0,27.887849807739258,0
231.17,3.968796747017748e-40,0.225600004196167,0.0,27.887203216552734,0
231.27,3.970461489593366e-40,0.1878499984741211,0.0,27.886615753173828,0
231.38,3.9721766789136995e-40,0.1274999976158142,0.0,27.886070251464844,0
231.48,3.973891868234033e-40,0.10835000872612,0.0,27.88556671142578,0
231.58,3.975556610809651e-40,0.11065000295639038,0.0,27.885087966918945,0
231.68,3.977271800129985e-40,0.11765000224113464,0.0,27.884593963623047,0
231.78,3.978936542705603e-40,0.12090000510215759,0.0,27.884113311767578,0
231.88,3.980651732025936e-40,0.12040001153945923,0.0,27.883621215820312,0
231.98,3.982316474601554e-40,0.1193000078201294,0.0,27.883150100708008,0
232.08,3.9840316639218874e-40,0.11680001020431519,0.0,27.882667541503906,0
232.18,3.985746853242221e-40,0.1152999997138977,0.0,27.882190704345703,0
232.28,3.987411595817839e-40,0.1140500009059906,0.0,27.881732940673828,0
232.38,3.989126785138173e-40,0.11425000429153442,0.0,27.881263732910156,0
232.48,3.990791527713791e-40,0.12174999713897705,0.0,27.88081169128418,0
232.58,3.992506717034124e-40,0.23794999718666077,0.0,27.880319595336914,0
232.69,3.994171459609742e-40,0.6198999881744385,0.0,27.879484176635742,0
232.79,3.995886648930075e-40,0.9175000190734863,0.0,27.87823486328125,0
232.89,3.997601838250409e-40,1.0,0.0,27.876853942871094,0
232.99,3.999266580826027e-40,1.0,0.0,27.87567710876465,0
233.09,4.000981770146361e-40,1.0,0.0,27.874446868896484,0
233.19,4.002646512721979e-40,1.0,0.0,27.873355865478516,0
233.29,4.004361702042312e-40,1.0,0.0,27.872119903564453,0
233.39,4.00602644461793e-40,1.0,0.0,27.871116638183594,0
233.49,4.007741633938263e-40,1.0,0.0,27.869972229003906,0
233.59,4.009406376513881e-40,1.0,0.0,27.868772506713867,0
233.69,4.011121565834215e-40,1.0,0.0,27.867616653442383,0
233.8,4.012685414920401e-40,1.0,0.0,27.86650276184082,0
233.9,4.014703284709029e-40,1.0,0.0,27.864946365356445,0
234.0,4.016368027284647e-40,1.0,0.0,27.86341094970703,0
234.1,4.0180832166049805e-40,1.0,0.0,27.861726760864258,0
234.2,4.019747959180598e-40,1.0,0.0,27.86009979248047,0
234.31,4.021463148500932e-40,1.0,0.0,27.8583984375,0
234.41,4.02312789107655e-40,1.0,0.0,27.856725692749023,0
234.51,4.024843080396884e-40,1.0,0.0,27.854978561401367,0
234.62,4.0263564827383545e-40,1.0,0.0,27.85341453552246,0
234.73,4.028525692761129e-40,1.0,0.0,27.85113525390625,0
234.83,4.030240882081463e-40,1.0,0.0,27.849313735961914,0
234.93,4.031956071401796e-40,1.0,0.0,27.84747314453125,0
235.03,4.033620813977414e-40,1.0,0.0,27.84566879272461,0
235.13,4.035336003297748e-40,1.0,0.0,27.844411849975586,0
235.23,4.0370007458733655e-40,1.0,0.0,27.8438663482666,0
235.33,4.038715935193699e-40,1.0,0.0,27.843050003051758,0
235.43,4.040380677769317e-40,1.0,0.0,27.84236717224121,0
235.53,4.042095867089651e-40,1.0,0.0,27.84105682373047,0
